,year,parameter,result,latitude,longitude
5031,2011,PAH,26.8,18.31735,-64.85635
5032,2011,DDT,0.09,18.312279999999998,-64.85199
5034,2011,PCB,0.35,18.312279999999998,-64.85199
5035,2011,PAH,9.6,18.312279999999998,-64.85199
5038,2011,PCB,0.3,18.304289999999998,-64.83998000000001
5039,2011,PAH,2.8,18.304289999999998,-64.83998000000001
5041,2011,PAH,0.44,18.30177,-64.83553
5042,2011,PCB,0.47,18.30177,-64.83553
5043,2011,PAH,0.8,18.30177,-64.83553
5044,2011,DDT,0.04,18.3125,-64.83686999999999
5045,2011,PAH,0.12,18.3125,-64.83686999999999
5046,2011,PCB,0.35,18.3125,-64.83686999999999
5047,2011,PAH,1.0,18.3125,-64.83686999999999
5050,2011,PCB,0.08,18.304129999999997,-64.82621
5051,2011,PAH,0.8,18.304129999999997,-64.82621
5054,2011,PCB,0.34,18.31525,-64.84118000000001
5055,2011,PAH,3.3,18.31525,-64.84118000000001
5058,2011,PCB,0.26,18.31725,-64.83537
5059,2011,PAH,3.5,18.31725,-64.83537
5062,2011,PCB,0.42,18.3179,-64.82919
5063,2011,PAH,15.7,18.3179,-64.82919
5066,2011,PCB,0.32,18.3225,-64.84019
5067,2011,PAH,6.1,18.3225,-64.84019
5070,2011,PCB,0.54,18.32099919,-64.83443126
5071,2011,PAH,3.0,18.32099919,-64.83443126
5072,2011,DDT,0.01,18.32246,-64.83707
5074,2011,PCB,0.4,18.32246,-64.83707
5075,2011,PAH,3.6,18.32246,-64.83707
5079,2012,PAH,5.737,18.30615,-64.8676
5080,2012,DDT,0.09,18.31455,-64.84351
5083,2012,PAH,24.849,18.31455,-64.84351
5087,2012,PAH,5.088,18.30409,-64.84470999999999
5091,2012,PAH,15.622,18.317529999999998,-64.86024
5095,2012,PAH,5.184,18.3037,-64.8688
5099,2012,PAH,7.1579999999999995,18.313370000000003,-64.86575
5103,2012,PAH,12.192,18.315379999999998,-64.82964
5107,2012,PAH,7.722,18.32036,-64.83813
5111,2012,PAH,7.224,18.307000000000002,-64.87556
5112,2007,PAH,15.6,18.1552,-65.3628
5113,2008,PAH,9.9,18.1401,-65.3016
