State,County,latitude,longitude,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Date Local
New Mexico,Bernalillo,35.15975,-106.546675,22.48551872,35.29024722,1.14421298,4.940267593,2020/6/1
New York,Bronx,40.84195,-73.890045,25.03777292,34.06484894,0,3.973361679,2020/6/1
New York,Monroe,43.1455965,-77.552725,15.12139849,33.57313005,0.027744758,3.53867308,2020/6/1
New York,Queens,40.737702,-73.819612,26.96081133,29.55498937,0,4.531785406,2020/6/1
New York,Steuben,42.09142,-77.20978,5.167397612,30.27592434,1.993635876,1.847290452,2020/6/1
New York,Suffolk,40.82799,-73.05754,18.28492814,32.15587256,29.40795838,3.258064516,2020/6/1
North Carolina,Forsyth,36.08951975,-80.2553285,22.87289952,48.99406512,16.66866777,6.664415475,2020/6/1
North Carolina,Mecklenburg,35.23925887,-80.80980663,14.48403575,42.6,0.363225828,3.679211361,2020/6/1
North Carolina,Wake,35.856111,-78.574167,12.93018525,34.90595353,0.296900704,2.969423,2020/6/1
North Dakota,Cass,46.933754,-96.85535,7.053912892,36.75539326,0,2.065140355,2020/6/1
Ohio,Cuyahoga,41.50370795,-81.6600582,18.99969231,34.40098555,0,4.422873302,2020/6/1
Ohio,Hamilton,39.13672729,-84.51977688,22.0790438,42.98377722,0,4.704896918,2020/6/1
Oklahoma,Adair,35.750735,-94.669697,5.284451928,33.7062116,1.570327014,2.019692693,2020/6/1
Oklahoma,Cherokee,35.85408,-94.985964,13.95166088,40.36303294,5.736116095,0.854491944,2020/6/1
Oklahoma,Kay,36.697186,-97.08135,11.02042988,44.65508965,15.81998804,1.388822544,2020/6/1
Oklahoma,Oklahoma,35.53141233,-97.515791,16.47923764,47.27857469,0,4.930390812,2020/6/1
Oklahoma,Ottawa,36.922222,-94.838889,15.96993441,45.8454385,3.132812202,0.241112505,2020/6/1
Oklahoma,Tulsa,36.1635968,-95.96252903,14.14418874,41.65953684,0,3.457003257,2020/6/1
Oregon,Multnomah,45.5196515,-122.5973489,17.02600642,22.11354453,0.095719381,5.51925121,2020/6/1
Pennsylvania,Adams,39.92156,-77.30874,5.291900402,33.2938727,0.391899184,1.357151488,2020/6/1
Pennsylvania,Allegheny,40.4543935,-79.975525,16.71126813,38.92564909,4.115513492,4.145330297,2020/6/1
Pennsylvania,Beaver,40.747796,-80.316442,27.69693152,30.98130631,30.87543006,3.469536127,2020/6/1
Pennsylvania,Berks,40.448715,-75.8791605,13.30685452,37.67170736,5.64516129,0.749311446,2020/6/1
Pennsylvania,Blair,40.535278,-78.370833,16.86932382,37.1770828,18.03942075,5.548387097,2020/6/1
Pennsylvania,Bucks,40.107222,-74.882222,15.65746892,41.48594898,5.630699057,0.696579987,2020/6/1
Pennsylvania,Cambria,40.309722,-78.915,18.35483871,35.16860719,0,1.684954521,2020/6/1
Pennsylvania,Dauphin,40.246992,-76.846988,23.88217164,40.08815314,14.13976922,4.799253286,2020/6/1
Pennsylvania,Erie,42.14175,-80.038611,12.58050812,44.24477769,0,1.842321529,2020/6/1
Pennsylvania,Lackawanna,41.442778,-75.623056,19.67930669,38.11862121,8.224529439,3.258750352,2020/6/1
Pennsylvania,Lancaster,40.046667,-76.283333,19.84364922,39.22845047,20.06108085,4.815546128,2020/6/1
Pennsylvania,Lawrence,40.995848,-80.346442,20.27587764,30.89737147,29.54719907,3.360464359,2020/6/1
Pennsylvania,Luzerne,41.265556,-75.846389,21.76005828,38.92944797,11.45557282,3.076696869,2020/6/1
